,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
411,9/2/2011 15:03,1314972218,dvn,64.6,6.319947333772212,1173.969971,2.9418920841065144,3.3780552496656973,37.01,4.75,2.93,1.3,61.42,38.1,6.58,7.74,22.29,28870000000,28870000000,8.58,0.92,3.05,5.06,3.05,8250000000,5.06,1460000000,13.6,288.5,28.2,6800000000,16.32,7930000000,1.99,51.26,28870000000,1.15,6.17,79.5,6210000,1.5,1.5,6190000,outperform
412,11/2/2011 22:04,1320267887,dvn,65.46,7.735352205398281,1237.900024,8.547725946493454,-0.812373741,37.01,4.81,2.75,1.22,61.42,38.1,6.58,7.74,22.29,27130000000,27130000000,9.53,0.8,2.87,4.76,2.87,8250000000,4.76,1460000000,13.6,288.5,28.2,6800000000,16.32,7930000000,1.99,51.26,27130000000,1.41,6.17,79.5,6970000,1.5,1.7,6370000,underperform
413,1/3/2012 16:04,1325603060,dvn,65.87,8.410138248847938,1277.060059,11.981551509804921,-3.571413261,43.87,5.84,2.48,1.2,47.21,43.55,7.65,10.52,24,27420000000,27420000000,9.59,0.99,2.72,4.16,2.72,8250000000,4.16,2069999999.9999998,11.27,50.3,28.9,6880000000,17.03,9260000000,1.59,51.82,5460000000,1.42,6.17,79.5,7350000,2.3,1.7,7130000,underperform
414,6/10/2004 18:07,1086887229,ebay,87.09,59.272128749085596,1136.469971,11.392415719756285,47.87971302932931,0.018,106.86,23.21,10.56,22.51,30.55,10.04,11.76,3.679,57250000000,56680000000,55.12,2.05,23.18,70.89,23.18,1750000000,70.89,543090000,0.815,76.8,78.3,1920000000,2.92,97190000,2.777,8.174,1050000000,1.576,23.5,67.52,27710000,2.725,5.51,29590000,outperform
415,8/11/2004 21:10,1092255035,ebay,76.38,39.68544257498171,1075.790039,5.444802158754818,34.24064041622689,0.022,80.06,18.48,8.63,23.98,32.43,10.95,12.85,4.036,50490000000,48090000000,48.04,1.66,17.75,51.42,17.75,1750000000,51.42,641620000,0.954,76.8,78.3,2140000000.0000002,3.23,125160000,3.22,8.772,1100000000,1.636,23.5,66.73,27530000,3.364,5.44,29800000,outperform
416,8/27/2004 9:07,1093594028,ebay,86.41,58.02852962692025,1107.77002,8.579356902095153,49.449172724825104,0.022,90.58,20.9,9.77,23.98,32.43,10.95,12.85,4.036,57120000000,55110000000,54.01,1.9,20.34,58.93,20.34,1750000000,58.93,641620000,0.954,76.8,78.3,2140000000.0000002,3.23,125160000,3.22,8.772,1100000000,1.636,23.5,67.64,25350000,2.145,5.01,27530000,outperform
417,10/12/2004 7:07,1097561234,ebay,93.73,71.41550841258231,1121.839966,9.958438896322813,61.45706952,0.022,98.25,22.59,10.56,23.98,32.43,10.95,12.85,4.036,61960000000,59950000000,58.58,2.14,22.13,64.1,22.13,1750000000,64.1,641620000,0.954,76.8,78.3,2140000000.0000002,3.23,125160000,3.22,8.772,1100000000,1.676,23.5,67.78,30850000,3.251,6.1,25350000,outperform
418,11/19/2004 9:31,1100853061,ebay,110.5,102.08485735186541,1170.339966,14.712222366425761,87.37263498543965,0.02,104.64,24.3,11.9,24.24,32.73,11.36,13.38,4.409,73250000000,71300000000,69.5,2.56,23.89,68.83,23.89,1750000000,68.83,715310000,1.056,76.8,78.3,2080000000,3.13,124720000,9.187,9.187,1170000000,1.763,23.5,68.02,26480000,2.643,5.22,30850000,outperform
419,11/30/2004 8:13,1101798833,ebay,112.65,106.01682516459401,1173.819946,15.053316622101828,90.96350854249218,0.02,106.68,24.77,12.14,24.24,32.73,11.36,13.38,4.409,74680000000,72720000000,70.85,2.61,24.37,70.21,24.37,1750000000,70.21,715310000,1.056,76.8,78.3,2080000000,3.13,124720000,9.187,9.187,1170000000,1.763,23.5,67.93,24390000,2.014,4.81,26480000,outperform
420,6/16/2005 8:07,1118905659,ebay,37.34,-31.71177762,1210.959961,18.693638052748742,-50.40541567,2.566,61.62,14.2,6.96,23.53,31.81,9.37,13.26,2.669,50370000000,48360000000,37.34,1.85,13.63,34.4,13.63,2660000000,34.4,834410000,0.61,28.1,36.4,2020000000,1.494,2.566,2.566,5.364,1410000000,2.119,18.25,62.4,38440000,1.5,3.8,28320000,underperform
