,Date,Unix,Ticker,DE Ratio,Price,stock_p_change,SP500,sp500_p_change,Difference
0,2004-01-30 19:01:02,1075485662.0,a,0.407,36.65,0.0,1131.130005,0.0,0.0
1,2004-04-13 04:07:11,1081825631.0,a,0.375,31.87,-13.042291950886762,1129.439941,-0.14941377140816745,-12.892878179478595
2,2004-12-13 21:37:34,1102970254.0,a,0.323,23.84,-34.95225102319236,1198.680054,5.971908507545951,-40.92415953073831
3,2006-01-09 02:35:16,1136770516.0,a,0.0,34.65,-5.457025920873124,1290.150024,14.058509481410145,-19.51553540228327
4,2006-06-21 11:01:16,1150884076.0,a,0.368,32.18,-12.19645293315143,1252.199951,10.703451014899041,-22.899903948050472
5,2007-02-20 17:46:56,1171990016.0,a,0.411,32.48,-11.377899045020468,1459.680054,29.046179267430887,-40.42407831245136
6,2007-04-12 05:07:51,1176350871.0,a,0.411,34.62,-5.538881309686224,1447.800049,27.995901673565804,-33.53478298325203
7,2008-01-23 19:28:50,1201112930.0,a,0.645,32.16,-12.251023192360169,1338.599976,18.3418325111091,-30.59285570346927
8,2008-02-14 04:44:34,1202960674.0,a,0.645,32.68,-10.832196452933148,1348.859985,19.248890846989784,-30.081087299922935
9,2011-08-02 06:45:37,1312263937.0,a,54.36,40.79,11.296043656207368,1254.050049,10.867012938976892,0.4290307172304768
10,2011-11-08 05:04:16,1320725056.0,a,51.62,37.74,2.9740791268758624,1275.920044,12.80047725371762,-9.826398126841758
11,2004-04-13 04:20:10,1081826410.0,aa,0.595,34.26,0.0,1129.439941,0.0,0.0
12,2004-09-09 16:15:45,1094742945.0,aa,0.561,32.89,-3.9988324576765835,1118.380005,-0.9792407368033841,-3.0195917208731995
13,2004-11-24 10:37:20,1101289040.0,aa,0.53,33.58,-1.9848219497956794,1181.76001,4.6323905416056,-6.61721249140128
14,2005-01-13 07:18:32,1105597112.0,aa,0.457,29.43,-14.098073555166371,1177.449951,4.250780254635953,-18.348853809802325
15,2005-02-07 03:48:37,1107744517.0,aa,0.457,29.37,-14.27320490367775,1201.719971,6.399634666364247,-20.672839570041997
16,2006-06-20 04:32:21,1150774341.0,aa,0.526,29.1,-15.061295971978975,1240.119995,9.799551971041895,-24.86084794302087
17,2007-01-25 19:09:37,1169748577.0,aa,0.494,31.46,-8.172796263864557,1423.900024,26.07133609417837,-34.244132358042926
18,2007-02-23 09:03:42,1172217822.0,aa,0.494,34.75,1.4302393461763048,1451.189941,28.48757054891509,-27.057331202738787
19,2007-05-16 21:12:47,1179346367.0,aa,0.494,39.04,13.952130764740225,1514.140015,34.06113596969029,-20.109005204950066
20,2007-06-22 06:39:12,1182490752.0,aa,0.503,40.34,17.746643315820215,1502.560059,33.03585294403891,-15.289209628218693
21,2007-10-11 20:57:59,1192132679.0,aa,0.47,38.08,11.150029188558088,1554.410034,37.626621617766915,-26.47659242920883
22,2008-01-23 16:05:53,1201100753.0,aa,0.499,28.04,-18.155283129013426,1338.599976,18.518916093476445,-36.674199222489875
23,2008-10-28 00:52:22,1225151542.0,aa,0.672,9.04,-73.61354349095154,940.51001,-16.727753653967874,-56.88578983698367
24,2008-12-05 01:03:15,1228435395.0,aa,0.672,8.06,-76.47402218330413,876.070007,-22.433236580571755,-54.04078560273237
25,2008-12-18 10:54:07,1229594047.0,aa,0.672,10.35,-69.78984238178634,885.280029,-21.617786226315157,-48.17205615547118
26,2011-11-02 22:04:47,1320267887.0,aa,50.93,10.7,-68.76824284880327,1237.900024,9.602996942357994,-78.37123979116126
27,2004-02-03 07:33:34,1075790014.0,aapl,0.07,22.32,0.0,1136.030029,0.0,0.0
28,2004-06-03 01:20:38,1086222038.0,aapl,0.0,28.92,29.569892473118287,1116.640015,-1.7068223114725487,31.276714784590837
29,2004-08-10 02:02:44,1092099764.0,aapl,0.0,30.3,35.752688172043015,1079.040039,-5.016591863347657,40.76928003539067
30,2004-10-12 05:40:57,1097556057.0,aapl,0.0,38.59,72.89426523297492,1121.839966,-1.2490922456064768,74.1433574785814
31,2005-01-26 15:16:47,1106749007.0,aapl,0.0,71.94,222.31182795698925,1174.069946,3.348495728892397,218.96333222809685
32,2005-02-04 03:07:08,1107482828.0,aapl,0.0,77.81,248.61111111111111,1203.030029,5.897731423435815,242.71337968767529
33,2005-03-01 10:36:03,1109669763.0,aapl,0.0,44.86,100.98566308243726,1210.410034,6.547362578564372,94.43830050387288
34,2006-01-25 09:43:52,1138178632.0,aapl,0.0,76.04,240.68100358422942,1264.680054,11.32452679206422,229.3564767921652
35,2006-02-03 13:49:59,1138970999.0,aapl,0.0,72.1,223.02867383512543,1264.030029,11.26730779402663,211.7613660410988
36,2006-02-07 09:17:30,1139300250.0,aapl,0.0,67.3,201.5232974910394,1254.780029,10.453068754223924,191.07022873681547
37,2006-02-17 15:01:01,1140184861.0,aapl,0.0,70.21,214.56093189964153,1287.23999,13.310384157107524,201.250547742534
38,2004-01-28 07:37:34,1075271854.0,abc,0.429,56.36,0.0,1128.47998,0.0,0.0
39,2004-10-20 01:31:26,1098232286.0,abc,0.331,52.1,-7.558552164655781,1103.660034,-2.1994139408658424,-5.359138223789939
40,2005-03-30 19:52:42,1112212362.0,abc,0.291,55.44,-1.632363378282473,1181.410034,4.69038484847555,-6.322748226758023
